List,Card,Owner,Status
Done,Project kick-off & scope,Sam Willock,Done
Done,Statement of Work,Sam Willock,Done
Done,Destination catalogue,Amechi Obisesan,Done
Done,Weather client + SQLite cache,Amechi Obisesan,Done
Done,Google Places client,Fenner Backhouse,Done
Done,Scoring model + tests,Amechi Obisesan,Done
Done,Web-scraping price element,Fenner Backhouse,Done
Done,Streamlit app (map + heatmap),Sam Willock,Done
Done,Analysis notebook,Amechi Obisesan,Done
Done,LLM recommendation blurb,Fenner Backhouse,Done
Done,README + reproducibility,Sam Willock,Done
Review,Google Geocoding feature,Fenner Backhouse,Review
Review,Presentation (5 slides),Sam Willock,Review
In Progress,Deploy to Streamlit Cloud,All,In Progress
In Progress,Live demo rehearsal,Fenner Backhouse,In Progress
To Do,Live travel-site scraping,Amechi Obisesan,To Do
To Do,Flight-price API,Fenner Backhouse,To Do
To Do,Fallback demo recording,Sam Willock,To Do
Backlog,User accounts & saved trips,All,Backlog
Backlog,Postgres cache + weekly refresh,All,Backlog
